submission_id,company_name,country,reporting_currency,fx_rate_to_usd,sector,reporting_year,year_founded,years_operating,audit_status,submission_status,pipeline_status,investment_flag,deferred_reason,submission_anomaly,anomaly_reason,pipeline_note,ebitda_recon_flag,ebitda_variance_pct,completeness_score,doc_income_statement,doc_balance_sheet,doc_prior_year,doc_registration,revenue_local,ebitda_local,total_debt_local,total_equity_local,revenue_usd_millions,ebitda_margin_pct,revenue_growth_pct,debt_to_equity,rev_score,ebitda_score,growth_score,d2e_score
AF014,Focal Logistics Group,Egypt,EGP,31,Retail,2020,2010,10,Audited,Validated,Validated,Decline,,False,,,False,0.0,95.6,financial_statements_2020.pdf,audited_financials_2020.pdf,annual_report_2019.pdf,certificate_of_incorporation.pdf,75361000,17987773.0,160484610.0,54586602,2.431,23.87,0.4,2.94,advance,advance,decline,review
AF015,Gateway Retail Africa,Egypt,EGP,31,Retail,2020,2020,0,Audited,Deferred,Deferred,Deferred,operating_history,False,,Company incorporated in 2020. 0 year(s) of operating history — minimum 3 required. Resubmit when eligible.,False,,,audited_financials_2020.pdf,annual_report_2020.pdf,annual_report_2019.pdf,certificate_of_incorporation.pdf,7905000,-1623830.0,2679056.0,3939788,,,,,,,,
AF016,Harambee Capital,Ghana,GHS,12,Retail,2021,2013,8,Audited,Validated,Validated,Advance,,False,,,False,0.0,93.1,audited_financials_2021.pdf,annual_report_2021.pdf,financial_statements_2020.pdf,certificate_of_incorporation.pdf,23460000,7330659.0,5095601.0,7493531,1.955,31.25,11.6,0.68,advance,advance,advance,advance
AF017,Ivory Coast Ventures,Uganda,UGX,3750,Healthcare,2019,2013,6,Audited,Validated,Validated,Decline,,False,,,False,0.0,91.5,annual_report_2019.pdf,audited_accounts_2019.pdf,financial_statements_2018.pdf,business_registration.pdf,1575000000,-244937286.0,2746333239.0,504840669,0.42,-15.55,-7.4,5.44,decline,decline,decline,decline
AF018,Jua Kali Manufacturing,Egypt,EGP,31,Healthcare,2020,2009,11,Unaudited,Incomplete,Validated,Decline,,True,"Duplicate document reference: income statement and balance sheet both reference ""company_documents_2020.pdf"". Audit status: Unaudited. Flagged for reviewer scrutiny before pipeline proceeds.",,False,,39.1,company_documents_2020.pdf,company_documents_2020.pdf,company_documents_2020.pdf,certificate_of_incorporation.pdf,20770000,,,8130063,0.67,,-23.5,,decline,,decline,
AF019,Kilimanjaro Holdings,Tanzania,TZS,2500,Retail,2019,2005,14,Management Accounts,Incomplete,Validated,Decline,,True,"Duplicate document reference: income statement and balance sheet both reference ""company_documents_2019.pdf"". Audit status: Management Accounts. Flagged for reviewer scrutiny before pipeline proceeds.",,False,,25.3,company_documents_2019.pdf,company_documents_2019.pdf,company_documents_2019.pdf,business_registration.pdf,6542500000,,,2981460788,2.617,,11.6,,advance,,advance,
AF020,Lakeshore Financial,Egypt,EGP,31,Agribusiness,2019,2012,7,Management Accounts,Incomplete,Validated,Decline,,True,"Duplicate document reference: income statement and balance sheet both reference ""company_documents_2019.pdf"". Audit status: Management Accounts. Flagged for reviewer scrutiny before pipeline proceeds.",,False,,39.8,company_documents_2019.pdf,company_documents_2019.pdf,accounts_2018.pdf,company_registration.pdf,22692000,,,12516184,0.732,,57.0,,decline,,advance,
AF021,Maisha Health Systems,Uganda,UGX,3750,Retail,2020,2010,10,Audited,Partial,Validated,Decline,,False,,,False,0.0,60.2,annual_report_2020.pdf,audited_financials_2020.pdf,financial_statements_2019.pdf,cac_certificate.pdf,4286250000,-266624635.0,,3044152280,1.143,-6.22,2.5,,review,decline,decline,
AF022,Nairobi Tech Hub,Kenya,KES,130,Healthcare,2021,2021,0,Audited,Deferred,Deferred,Deferred,operating_history,False,,Company incorporated in 2021. 0 year(s) of operating history — minimum 3 required. Resubmit when eligible.,False,,,audited_financials_2021.pdf,financial_statements_2021.pdf,audited_accounts_2020.pdf,cac_certificate.pdf,174980000,-18335180.0,110276165.0,95892317,,,,,,,,
AF023,Orbit Agribusiness,Egypt,EGP,31,Healthcare,2020,2010,10,Audited,Validated,Validated,Decline,,False,,,False,0.0,90.6,financial_statements_2020.pdf,audited_accounts_2020.pdf,audited_accounts_2019.pdf,cac_certificate.pdf,38874000,-3419084.0,74504302.0,30914648,1.254,-8.8,68.2,2.41,review,decline,advance,review
AF024,Pantheon Logistics,Uganda,UGX,3750,Retail,2020,2011,9,Management Accounts,Incomplete,Validated,Decline,,True,"Duplicate document reference: income statement and balance sheet both reference ""company_documents_2020.pdf"". Audit status: Management Accounts. Flagged for reviewer scrutiny before pipeline proceeds.",,False,,31.7,company_documents_2020.pdf,company_documents_2020.pdf,company_documents_2020.pdf,company_registration.pdf,23880000000,,,10985392236,6.368,,1.8,,advance,,decline,
AF025,Quartz Energy Solutions,Senegal,XOF,600,Energy,2019,2013,6,Management Accounts,Partial,Validated,Decline,,True,"Duplicate document reference: income statement and balance sheet both reference ""company_documents_2019.pdf"". Audit status: Management Accounts. Flagged for reviewer scrutiny before pipeline proceeds.",,False,0.0,74.7,company_documents_2019.pdf,company_documents_2019.pdf,accounts_2018.pdf,certificate_of_incorporation.pdf,339600000,-45375175.0,,229633195,0.566,-13.36,-9.1,,decline,decline,decline,
AF026,River Basin Retail,Egypt,EGP,31,Retail,2020,2007,13,Audited,Validated,Validated,Advance,,False,,,False,0.0,90.9,audited_accounts_2020.pdf,annual_report_2020.pdf,annual_report_2019.pdf,company_registration.pdf,105121000,26691233.0,84133734.0,53931881,3.391,25.39,19.7,1.56,advance,advance,advance,advance
AF027,Sahel Manufacturing,Kenya,KES,130,Healthcare,2019,2009,10,Audited,Validated,Validated,Decline,,False,,,False,0.0,96.7,audited_accounts_2019.pdf,financial_statements_2019.pdf,annual_report_2018.pdf,certificate_of_incorporation.pdf,384280000,92003395.0,737183572.0,187578517,2.956,23.94,-4.3,3.93,advance,advance,decline,decline
AF028,Tanganyika Capital,Egypt,EGP,31,Agribusiness,2021,2020,1,Audited,Deferred,Deferred,Deferred,operating_history,False,,Company incorporated in 2020. 1 year(s) of operating history — minimum 3 required. Resubmit when eligible.,False,,,audited_financials_2021.pdf,financial_statements_2021.pdf,financial_statements_2020.pdf,certificate_of_incorporation.pdf,30690000,-1927746.0,43788725.0,20655059,,,,,,,,
AF029,Ubuntu Financial Group,Senegal,XOF,600,Retail,2019,2011,8,Unaudited,Incomplete,Validated,Decline,,True,"Duplicate document reference: income statement and balance sheet both reference ""company_documents_2019.pdf"". Audit status: Unaudited. Flagged for reviewer scrutiny before pipeline proceeds.",,False,,27.6,company_documents_2019.pdf,company_documents_2019.pdf,accounts_2018.pdf,company_registration.pdf,1318800000,,,1005349812,2.198,,18.0,,advance,,advance,
AF030,Volta Energy Partners,South Africa,ZAR,19,Fintech,2020,2017,3,Audited,Validated,Validated,Decline,,False,,,False,0.0,94.3,audited_accounts_2020.pdf,financial_statements_2020.pdf,audited_accounts_2019.pdf,company_registration.pdf,11685000,220496.0,55027393.0,8706866,0.615,1.89,-10.3,6.32,decline,decline,decline,decline
AF031,Wangari Agri Ltd,South Africa,ZAR,19,Agribusiness,2020,2006,14,Audited,Validated,Validated,Advance,,False,,EBITDA reconciliation variance: 11.64% — submitted figure does not match derived (gross profit − operating expenses). Flagged for reviewer check.,True,11.64,87.0,audited_accounts_2020.pdf,annual_report_2020.pdf,annual_report_2019.pdf,business_registration.pdf,38399000,12321511.0,21245386.0,23092811,2.021,28.74,12.6,0.92,advance,advance,advance,advance
AF032,Xcel Logistics Africa,Ghana,GHS,12,Healthcare,2021,2017,4,Management Accounts,Partial,Validated,Decline,,True,"Duplicate document reference: income statement and balance sheet both reference ""company_documents_2021.pdf"". Audit status: Management Accounts. Flagged for reviewer scrutiny before pipeline proceeds.",,False,0.0,64.8,company_documents_2021.pdf,company_documents_2021.pdf,company_documents_2021.pdf,business_registration.pdf,12324000,723.0,19079171.0,6018666,1.027,0.01,-6.5,3.17,review,decline,decline,decline
AF033,Yetu Fintech Solutions,Nigeria,NGN,1550,Agribusiness,2019,2017,2,Audited,Deferred,Deferred,Deferred,operating_history,False,,Company incorporated in 2017. 2 year(s) of operating history — minimum 3 required. Resubmit when eligible.,False,,,financial_statements_2019.pdf,audited_financials_2019.pdf,financial_statements_2018.pdf,business_registration.pdf,2701650000,-151452110.0,3495105983.0,1849262425,,,,,,,,
AF034,Zambezi Holdings,Ethiopia,ETB,57,Agribusiness,2020,2009,11,Audited,Validated,Validated,Decline,,False,,,False,0.0,95.1,annual_report_2020.pdf,financial_statements_2020.pdf,financial_statements_2019.pdf,cac_certificate.pdf,31749000,-1140607.0,31029122.0,15210354,0.557,-3.59,77.2,2.04,decline,decline,advance,review
AF035,Acacia Capital Group,Rwanda,RWF,1200,Energy,2021,2021,0,Audited,Deferred,Deferred,Deferred,operating_history,False,,Company incorporated in 2021. 0 year(s) of operating history — minimum 3 required. Resubmit when eligible.,False,,,audited_accounts_2021.pdf,audited_financials_2021.pdf,audited_accounts_2020.pdf,business_registration.pdf,321600000,12882131.0,345114718.0,222654657,,,,,,,,
AF036,Boma Retail Chain,Kenya,KES,130,Energy,2021,2017,4,Audited,Validated,Validated,Advance,,False,,,False,0.0,94.3,financial_statements_2021.pdf,annual_report_2021.pdf,annual_report_2020.pdf,business_registration.pdf,353340000,69635935.0,261561476.0,244449978,2.718,19.71,13.9,1.07,advance,advance,advance,advance
AF037,Crater Lake Energy,Ethiopia,ETB,57,Healthcare,2020,2006,14,Audited,Partial,Deferred,Deferred,financial_history,False,,Insufficient financial history. A minimum of two consecutive years of audited accounts is required to assess year-on-year growth. Only one year of accounts (2020) was provided. Resubmit when your accounts reflect at least two full financial years.,False,,66.5,audited_financials_2020.pdf,annual_report_2020.pdf,financial_statements_2019.pdf,certificate_of_incorporation.pdf,46569000,5360132.0,49986330.0,21923829,,,,,,,,
AF038,Dune Manufacturing,Rwanda,RWF,1200,Logistics,2019,2015,4,Audited,Partial,Validated,Decline,,False,,,False,,63.9,audited_financials_2019.pdf,financial_statements_2019.pdf,financial_statements_2018.pdf,certificate_of_incorporation.pdf,1280400000,,786886069.0,735407541,1.067,,-5.2,1.07,review,,decline,advance
AF039,Equator Healthcare,Egypt,EGP,31,Healthcare,2021,2010,11,Audited,Partial,Validated,Decline,,False,,,False,0.0,79.7,financial_statements_2021.pdf,audited_accounts_2021.pdf,financial_statements_2020.pdf,business_registration.pdf,163556000,29824168.0,235109414.0,55978432,5.276,18.23,-2.1,4.2,advance,advance,decline,decline
AF040,Flame Tree Ventures,Rwanda,RWF,1200,Manufacturing,2020,2010,10,Audited,Validated,Validated,Advance,,False,,,False,0.0,98.0,annual_report_2020.pdf,audited_financials_2020.pdf,financial_statements_2019.pdf,company_registration.pdf,4210800000,910527078.0,4461126764.0,2841482015,3.509,21.62,10.6,1.57,advance,advance,advance,advance
AF041,Garnet Agribusiness,Ghana,GHS,12,Retail,2019,2008,11,Audited,Partial,Deferred,Deferred,financial_history,False,,Insufficient financial history. A minimum of two consecutive years of audited accounts is required to assess year-on-year growth. Only one year of accounts (2019) was provided. Resubmit when your accounts reflect at least two full financial years.,False,,67.0,audited_financials_2019.pdf,financial_statements_2019.pdf,financial_statements_2018.pdf,business_registration.pdf,17412000,2044523.0,16962882.0,8315138,,,,,,,,
AF042,Highveld Capital,Kenya,KES,130,Retail,2019,2008,11,Audited,Validated,Validated,Decline,,False,,,False,0.0,88.4,audited_accounts_2019.pdf,annual_report_2019.pdf,audited_accounts_2018.pdf,business_registration.pdf,366340000,106145232.0,831541940.0,280926331,2.818,28.97,4.1,2.96,advance,advance,review,review
AF043,Indigo Logistics,South Africa,ZAR,19,Manufacturing,2021,2016,5,Management Accounts,Incomplete,Validated,Decline,,False,,,False,,34.7,annual_report_2021.pdf,audited_financials_2021.pdf,financial_statements_2020.pdf,cac_certificate.pdf,28861000,,,8734782,1.519,,17.0,,advance,,advance,
AF044,Jade Financial Africa,Ghana,GHS,12,Manufacturing,2019,2018,1,Audited,Deferred,Deferred,Deferred,operating_history,False,,Company incorporated in 2018. 1 year(s) of operating history — minimum 3 required. Resubmit when eligible.,False,,,financial_statements_2019.pdf,annual_report_2019.pdf,financial_statements_2018.pdf,certificate_of_incorporation.pdf,7584000,1016915.0,6552092.0,4200059,,,,,,,,
AF045,Kalahari Energy Co,Nigeria,NGN,1550,Logistics,2021,2013,8,Audited,Validated,Validated,Decline,,False,,,False,0.0,99.8,financial_statements_2021.pdf,annual_report_2021.pdf,annual_report_2020.pdf,business_registration.pdf,1450800000,-198642575.0,783134278.0,532744407,0.936,-13.69,29.3,1.47,decline,decline,advance,advance
AF046,Limpopo Manufacturing,Kenya,KES,130,Logistics,2019,2009,10,Unaudited,Incomplete,Validated,Decline,,False,,,False,,26.2,annual_report_2019.pdf,audited_accounts_2019.pdf,annual_report_2018.pdf,certificate_of_incorporation.pdf,126750000,,,97149950,0.975,,67.7,,decline,,advance,
AF047,Mara Tech Ventures,Ghana,GHS,12,Fintech,2020,2009,11,Audited,Validated,Validated,Decline,,False,,,False,0.0,93.8,audited_financials_2020.pdf,audited_accounts_2020.pdf,financial_statements_2019.pdf,certificate_of_incorporation.pdf,8700000,-274700.0,33714381.0,6559218,0.725,-3.16,-4.9,5.14,decline,decline,decline,decline
AF048,Namib Retail Group,Uganda,UGX,3750,Retail,2020,2017,3,Management Accounts,Incomplete,Validated,Decline,,False,,,False,,38.8,audited_financials_2020.pdf,financial_statements_2020.pdf,financial_statements_2019.pdf,cac_certificate.pdf,2298750000,,,823984686,0.613,,74.0,,decline,,advance,
AF049,Oasis Healthcare Ltd,Egypt,EGP,31,Logistics,2021,2012,9,Audited,Partial,Validated,Decline,,False,,,False,,67.3,audited_accounts_2021.pdf,financial_statements_2021.pdf,audited_accounts_2020.pdf,cac_certificate.pdf,32333000,,17038738.0,13006670,1.043,,11.9,1.31,review,,advance,advance
AF050,Prism Capital Africa,Rwanda,RWF,1200,Healthcare,2021,2015,6,Audited,Partial,Validated,Advance,,False,,,False,0.0,68.6,annual_report_2021.pdf,audited_financials_2021.pdf,audited_accounts_2020.pdf,company_registration.pdf,2522400000,522283972.0,2160162845.0,1565335395,2.102,20.71,18.0,1.38,advance,advance,advance,advance
AF051,Savanna Fintech,South Africa,ZAR,19,Energy,2020,2012,8,Audited,Validated,Validated,Decline,,False,,,False,0.0,98.1,audited_financials_2020.pdf,financial_statements_2020.pdf,financial_statements_2019.pdf,certificate_of_incorporation.pdf,13946000,712903.0,15289921.0,8447470,0.734,5.11,47.7,1.81,decline,review,advance,advance
AF052,Thorn Tree Energy,South Africa,ZAR,19,Logistics,2019,2007,12,Audited,Validated,Validated,Advance,,False,,,False,0.0,88.5,annual_report_2019.pdf,audited_accounts_2019.pdf,audited_accounts_2018.pdf,business_registration.pdf,76190000,15699117.0,89777362.0,57549591,4.01,20.61,13.7,1.56,advance,advance,advance,advance
AF053,Ubuntu Agri Co,South Africa,ZAR,19,Manufacturing,2021,2013,8,Audited,Validated,Validated,Advance,,False,,,False,0.0,91.0,annual_report_2021.pdf,audited_financials_2021.pdf,audited_accounts_2020.pdf,company_registration.pdf,46417000,12733315.0,21048903.0,14032602,2.443,27.43,15.9,1.5,advance,advance,advance,advance
AF054,Virunga Logistics,Rwanda,RWF,1200,Agribusiness,2021,2008,13,Unaudited,Incomplete,Validated,Decline,,False,,,False,,30.9,annual_report_2021.pdf,audited_financials_2021.pdf,annual_report_2020.pdf,business_registration.pdf,3963600000,,,2019306456,3.303,,-6.6,,advance,,decline,
AF055,Waterberg Holdings,Rwanda,RWF,1200,Agribusiness,2020,2017,3,Audited,Validated,Validated,Advance,,False,,,False,0.0,96.2,audited_financials_2020.pdf,audited_accounts_2020.pdf,annual_report_2019.pdf,company_registration.pdf,15670800000,4299908586.0,9834635753.0,9366319765,13.059,27.44,11.5,1.05,advance,advance,advance,advance
AF056,Xenon Healthcare,Ghana,GHS,12,Manufacturing,2020,2010,10,Management Accounts,Partial,Deferred,Deferred,financial_history,False,,Insufficient financial history. A minimum of two consecutive years of audited accounts is required to assess year-on-year growth. Only one year of accounts (2020) was provided. Resubmit when your accounts reflect at least two full financial years.,False,,57.6,audited_accounts_2020.pdf,annual_report_2020.pdf,annual_report_2019.pdf,cac_certificate.pdf,6948000,-966467.0,17454472.0,3811020,,,,,,,,
AF057,Yellow River Retail,Tanzania,TZS,2500,Energy,2020,2016,4,Audited,Validated,Validated,Advance,,False,,EBITDA reconciliation variance: 6.62% — submitted figure does not match derived (gross profit − operating expenses). Flagged for reviewer check.,True,6.62,95.1,annual_report_2020.pdf,audited_accounts_2020.pdf,audited_accounts_2019.pdf,certificate_of_incorporation.pdf,5322500000,905934455.0,743740961.0,2187473416,2.129,15.96,10.3,0.34,advance,advance,advance,advance
AF058,Zara Manufacturing,Ethiopia,ETB,57,Energy,2021,2017,4,Audited,Validated,Validated,Decline,,False,,,False,0.0,89.9,audited_accounts_2021.pdf,financial_statements_2021.pdf,financial_statements_2020.pdf,cac_certificate.pdf,77235000,2585438.0,88145682.0,28618728,1.355,3.35,11.7,3.08,review,decline,advance,decline
AF059,Apex Fintech Nigeria,Egypt,EGP,31,Retail,2019,2014,5,Audited,Partial,Validated,Decline,,False,,,False,0.0,61.7,audited_accounts_2019.pdf,audited_financials_2019.pdf,financial_statements_2018.pdf,company_registration.pdf,128526000,34993347.0,,62957973,4.146,27.23,-3.5,,advance,advance,decline,
AF060,Benue Agri Partners,Senegal,XOF,600,Agribusiness,2019,2018,1,Audited,Deferred,Deferred,Deferred,operating_history,False,,Company incorporated in 2018. 1 year(s) of operating history — minimum 3 required. Resubmit when eligible.,False,,,financial_statements_2019.pdf,annual_report_2019.pdf,financial_statements_2018.pdf,company_registration.pdf,949200000,-149188400.0,623595921.0,371188048,,,,,,,,
AF061,Cape Solar Energy,Kenya,KES,130,Energy,2019,2008,11,Audited,Validated,Validated,Decline,,False,,,False,0.0,98.7,financial_statements_2019.pdf,audited_accounts_2019.pdf,audited_accounts_2018.pdf,certificate_of_incorporation.pdf,113880000,5652739.0,68543467.0,49669179,0.876,4.96,-7.1,1.38,decline,decline,decline,advance
AF062,Dakar Logistics Hub,South Africa,ZAR,19,Fintech,2020,2019,1,Audited,Deferred,Deferred,Deferred,operating_history,False,,Company incorporated in 2019. 1 year(s) of operating history — minimum 3 required. Resubmit when eligible.,False,,,audited_accounts_2020.pdf,financial_statements_2020.pdf,audited_accounts_2019.pdf,cac_certificate.pdf,31863000,292420.0,64573520.0,23481280,,,,,,,,
AF063,Eastern Star Healthcare,Uganda,UGX,3750,Agribusiness,2019,2007,12,Audited,Validated,Validated,Decline,,False,,,False,0.0,94.0,financial_statements_2019.pdf,audited_financials_2019.pdf,audited_accounts_2018.pdf,business_registration.pdf,6765000000,259855122.0,6200481230.0,4525898708,1.804,3.84,-0.9,1.37,advance,decline,decline,advance
AF064,Frontline Capital,Ethiopia,ETB,57,Energy,2021,2012,9,Audited,Partial,Deferred,Deferred,financial_history,False,,Insufficient financial history. A minimum of two consecutive years of audited accounts is required to assess year-on-year growth. Only one year of accounts (2021) was provided. Resubmit when your accounts reflect at least two full financial years.,False,,59.1,audited_accounts_2021.pdf,financial_statements_2021.pdf,annual_report_2020.pdf,certificate_of_incorporation.pdf,250059000,38833806.0,360010710.0,108764565,,,,,,,,
AF065,Golden Gate Agri,Kenya,KES,130,Fintech,2020,2009,11,Audited,Validated,Validated,Decline,,False,,EBITDA reconciliation variance: 6.62% — submitted figure does not match derived (gross profit − operating expenses). Flagged for reviewer check.,True,6.62,99.5,audited_accounts_2020.pdf,annual_report_2020.pdf,financial_statements_2019.pdf,company_registration.pdf,118820000,11309918.0,47111266.0,40266039,0.914,8.93,-1.0,1.17,decline,review,decline,advance
AF066,Highland Energy Co,Ethiopia,ETB,57,Logistics,2021,2018,3,Management Accounts,Partial,Validated,Decline,,False,,,False,,72.3,financial_statements_2021.pdf,annual_report_2021.pdf,annual_report_2020.pdf,company_registration.pdf,51585000,,199895791.0,36278728,0.905,,-13.8,5.51,decline,,decline,decline
AF067,Ibadan Tech Ventures,Kenya,KES,130,Fintech,2021,2009,12,Audited,Partial,Deferred,Deferred,financial_history,False,,Insufficient financial history. A minimum of two consecutive years of audited accounts is required to assess year-on-year growth. Only one year of accounts (2021) was provided. Resubmit when your accounts reflect at least two full financial years.,False,,62.4,audited_financials_2021.pdf,annual_report_2021.pdf,financial_statements_2020.pdf,certificate_of_incorporation.pdf,268840000,97205788.0,367276728.0,85215018,,,,,,,,
AF068,Jomo Capital Partners,Tanzania,TZS,2500,Healthcare,2020,2016,4,Audited,Partial,Validated,Decline,,False,,,False,0.0,66.0,audited_accounts_2020.pdf,annual_report_2020.pdf,financial_statements_2019.pdf,certificate_of_incorporation.pdf,1300000000,-144483095.0,4420840109.0,965248932,0.52,-11.11,-8.8,4.58,decline,decline,decline,decline
AF069,Kinshasa Manufacturing,Uganda,UGX,3750,Fintech,2019,2016,3,Audited,Partial,Validated,Decline,,False,,,False,0.0,78.5,audited_financials_2019.pdf,financial_statements_2019.pdf,annual_report_2018.pdf,certificate_of_incorporation.pdf,6112500000,565062496.0,4732409836.0,4507056987,1.63,9.24,3.5,1.05,advance,review,review,advance
AF070,Lusaka Financial,South Africa,ZAR,19,Healthcare,2020,2020,0,Audited,Deferred,Deferred,Deferred,operating_history,False,,Company incorporated in 2020. 0 year(s) of operating history — minimum 3 required. Resubmit when eligible.,False,,,annual_report_2020.pdf,audited_financials_2020.pdf,financial_statements_2019.pdf,business_registration.pdf,22857000,-1555779.0,17190473.0,12828711,,,,,,,,
AF071,Mombasa Retail Group,Nigeria,NGN,1550,Manufacturing,2019,2009,10,Audited,Validated,Validated,Decline,,False,,,False,0.0,95.2,audited_accounts_2019.pdf,annual_report_2019.pdf,financial_statements_2018.pdf,business_registration.pdf,478950000,-54505347.0,1587512513.0,246125971,0.309,-11.38,-17.5,6.45,decline,decline,decline,decline
AF072,Northern Agri Holdings,Egypt,EGP,31,Healthcare,2019,2011,8,Audited,Validated,Validated,Decline,,False,,,False,0.0,97.6,annual_report_2019.pdf,audited_financials_2019.pdf,financial_statements_2018.pdf,business_registration.pdf,775000000,157073569.0,1007537535.0,257682234,25.0,20.27,3.8,3.91,advance,advance,review,decline
